biotoolsID,owner,repo,repo_url,repo.stargazers_count,repo.watchers_count,repo.subscribers_count,repo.forks_count,repo.open_issues_count,repo.network_count,num_contributors,num_releases,num_commits,num_pulls,avg_time_to_close_days,maturity
ComplexBrowser,,,,,,,,,,,,,,,None
PolySTest,computproteomics,PolySTest,https://github.com/computproteomics/PolySTest,0.0,0.0,2.0,1.0,2.0,1.0,4.0,0.0,220.0,3.0,0.109,Mature
vsclust,,,,,,,,,,,,,,,None
bmtagger,,,,,,,,,,,,,,,Mature
prolfquapp,prolfqua,prolfquapp,https://github.com/prolfqua/prolfquapp,6.0,6.0,2.0,3.0,8.0,3.0,4.0,16.0,828.0,11.0,29.379,Emerging
feature-based_harmonization,,,,,,,,,,,,,,,None
biologically_motivated_normalization_techniques,,,,,,,,,,,,,,,None
n4_bias_filter,,,,,,,,,,,,,,,None
cobrar,,,,,,,,,,,,,,,Emerging
spectra,Rformassspectrometry,Spectra,https://github.com/Rformassspectrometry/Spectra,43.0,43.0,9.0,27.0,40.0,27.0,13.0,0.0,1299.0,167.0,74.789,Mature
xcms,sneumann,xcms,https://github.com/sneumann/xcms,210.0,210.0,20.0,80.0,207.0,80.0,64.0,0.0,3988.0,148.0,91.447,Mature
nlmced_filter,FerielRamdhane,Denoising-CEST-MRI,https://github.com/FerielRamdhane/Denoising-CEST-MRI/tree/main/NLmCED_Filter,6.0,6.0,1.0,2.0,0.0,2.0,1.0,1.0,21.0,0.0,,None
sub-saharan_africa_brain_glioma_segmenter,Pediatric-Accelerated-Intelligence-Lab,HOPE-Segmenter-Kids,https://github.com/Pediatric-Accelerated-Intelligence-Lab/HOPE-Segmenter-Kids,3.0,3.0,0.0,1.0,0.0,1.0,5.0,0.0,137.0,5.0,1.04,Mature
intercranial_meningioma_segmenter,Pediatric-Accelerated-Intelligence-Lab,HOPE-Segmenter-Kids,https://github.com/Pediatric-Accelerated-Intelligence-Lab/HOPE-Segmenter-Kids,3.0,3.0,0.0,1.0,0.0,1.0,5.0,0.0,137.0,5.0,1.04,Mature
brain_metastasis_segmenter,Pediatric-Accelerated-Intelligence-Lab,HOPE-Segmenter-Kids,https://github.com/Pediatric-Accelerated-Intelligence-Lab/HOPE-Segmenter-Kids,3.0,3.0,0.0,1.0,0.0,1.0,5.0,0.0,137.0,5.0,1.04,Mature
brain_glioma_segmenter,Pediatric-Accelerated-Intelligence-Lab,HOPE-Segmenter-Kids,https://github.com/Pediatric-Accelerated-Intelligence-Lab/HOPE-Segmenter-Kids,3.0,3.0,0.0,1.0,0.0,1.0,5.0,0.0,137.0,5.0,1.04,Mature
pediatric_brain_tumor_segmenter,Pediatric-Accelerated-Intelligence-Lab,HOPE-Segmenter-Kids,https://github.com/Pediatric-Accelerated-Intelligence-Lab/HOPE-Segmenter-Kids,3.0,3.0,0.0,1.0,0.0,1.0,5.0,0.0,137.0,5.0,1.04,Mature
